                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1084,                 1.5447,                 1.1558,                 1.1671,                0.72414,                0.64851,                0.72017,                0.51868,                0.73539,                0.62418,                0.68616,                0.42888,                 1.0065,                 1.7633,                    1.1,                 1.1532,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.1142,                 1.5271,                 1.1639,                 1.1625,                0.72866,                0.65834,                0.71742,                0.51432,                0.72482,                0.63732,                0.68382,                 0.4247,                 1.0077,                 1.7462,                 1.1052,                 1.1558,               0.093631,              0.0006307,              0.0006307
                      2,                 1.1209,                 1.4638,                 1.1651,                  1.149,                0.74397,                0.65295,                0.72061,                0.51765,                0.73171,                0.63338,                0.68085,                0.42131,                0.99449,                 1.7569,                 1.1049,                  1.151,               0.089882,              0.0008822,              0.0008822
                      3,                 1.0568,                 1.3704,                 1.1368,                 1.1288,                0.74275,                  0.645,                0.72386,                0.51785,                0.72274,                0.62685,                0.67949,                0.41894,                0.99038,                 1.8184,                 1.1004,                 1.1464,               0.086055,              0.0010545,              0.0010545
                      4,                 1.0567,                 1.4535,                 1.1501,                 1.1357,                0.73557,                0.66163,                0.72957,                0.52071,                0.72814,                0.62549,                0.69014,                0.42864,                0.98331,                  1.708,                  1.087,                 1.1392,               0.082148,              0.0011476,              0.0011476
                      5,                 1.1253,                 1.4772,                 1.2233,                 1.1768,                0.73222,                0.66114,                0.73569,                0.52852,                0.71931,                0.64258,                0.69862,                0.43423,                0.96909,                 1.6387,                 1.0724,                 1.1292,               0.078162,              0.0011615,              0.0011615
                      6,                 1.0907,                 1.4671,                 1.1307,                 1.1536,                0.71962,                0.68857,                0.74277,                 0.5376,                0.72288,                0.65572,                0.70162,                0.44013,                0.95135,                  1.637,                  1.059,                 1.1149,               0.074096,              0.0010962,              0.0010962
                      7,                 1.1041,                  1.595,                  1.171,                   1.16,                0.71481,                0.70302,                0.74975,                0.54627,                0.72561,                0.67761,                0.71907,                0.45419,                 0.9356,                 1.5495,                 1.0386,                 1.1055,               0.069952,              0.0009517,              0.0009517
                      8,                 1.0117,                 1.4281,                 1.1088,                 1.1353,                0.63209,                0.37057,                0.37378,                0.27336,                0.63749,                 0.3548,                0.35876,                0.23286,                0.92992,                 1.5233,                 1.0268,                 1.1017,               0.065728,               0.000728,               0.000728
                      9,                0.99306,                 1.4722,                 1.0565,                 1.1164,                0.74576,                0.70151,                0.75878,                0.55658,                0.74988,                0.67937,                0.73184,                0.47078,                0.91896,                 1.4795,                 1.0147,                 1.0968,               0.061425,              0.0004251,              0.0004251
